id,SubActivity,Activity,TypeAct,SubActivity_Query_Label
1,"--Select a SubActivity--","--Select an Activity--","---Select an Effort Type---","--Select a SubActivity-- (--Select an Activity--)"
2,"--Select an Activity--","--Select an Activity--","---Select an Effort Type---","--Select an Activity-- (--Select an Activity--)"
3,"Minimization  and Avoidance Strategies / BMPs","NON-REGULATORY MECHANISMS: (Plans, Strategies, BMPs)","Non-Spatial Plan","Minimization  and Avoidance Strategies / BMPs (NON-REGULATORY MECHANISMS: (Plans, Strategies, BMPs))"
4,"Non-regulatory Conservation Strategies","NON-REGULATORY MECHANISMS: (Plans, Strategies, BMPs)","Non-Spatial Plan","Non-regulatory Conservation Strategies (NON-REGULATORY MECHANISMS: (Plans, Strategies, BMPs))"
5,"Compensatory Mitigation Plans","REGULATORY MECHANISMS: (Plans, Policies, Exec./Sec. Orders)","Non-Spatial Plan","Compensatory Mitigation Plans (REGULATORY MECHANISMS: (Plans, Policies, Exec./Sec. Orders))"
6,"Conservation Agreements (including but not limited to: CCAs, CCAAs, Farm Bill and other Incentive-based programs)","REGULATORY MECHANISMS: (Plans, Policies, Exec./Sec. Orders)","Non-Spatial Plan","Conservation Agreements (including but not limited to: CCAs, CCAAs, Farm Bill and other Incentive-based programs) (REGULATORY MECHANISMS: (Plans, Policies, Exec./Sec. Orders))"
7,"Conservation Banking / Advanced Crediting Systems","REGULATORY MECHANISMS: (Plans, Policies, Exec./Sec. Orders)","Non-Spatial Plan","Conservation Banking / Advanced Crediting Systems (REGULATORY MECHANISMS: (Plans, Policies, Exec./Sec. Orders))"
8,"County/Local Government Plan","REGULATORY MECHANISMS: (Plans, Policies, Exec./Sec. Orders)","Non-Spatial Plan","County/Local Government Plan (REGULATORY MECHANISMS: (Plans, Policies, Exec./Sec. Orders))"
9,"Federal Land Use Plan","REGULATORY MECHANISMS: (Plans, Policies, Exec./Sec. Orders)","Non-Spatial Plan","Federal Land Use Plan (REGULATORY MECHANISMS: (Plans, Policies, Exec./Sec. Orders))"
10,"Fire Mutual Aid Agreement","REGULATORY MECHANISMS: (Plans, Policies, Exec./Sec. Orders)","Non-Spatial Plan","Fire Mutual Aid Agreement (REGULATORY MECHANISMS: (Plans, Policies, Exec./Sec. Orders))"
11,"Fire Related Conservation Strategy (Pre-suppression Plans)","REGULATORY MECHANISMS: (Plans, Policies, Exec./Sec. Orders)","Non-Spatial Plan","Fire Related Conservation Strategy (Pre-suppression Plans) (REGULATORY MECHANISMS: (Plans, Policies, Exec./Sec. Orders))"
12,"Grazing and Rangeland Management Plans (Regulatory)","REGULATORY MECHANISMS: (Plans, Policies, Exec./Sec. Orders)","Non-Spatial Plan","Grazing and Rangeland Management Plans (Regulatory) (REGULATORY MECHANISMS: (Plans, Policies, Exec./Sec. Orders))"
13,"Programmatic Candidate Conservation Agreement","REGULATORY MECHANISMS: (Plans, Policies, Exec./Sec. Orders)","Non-Spatial Plan","Programmatic Candidate Conservation Agreement (REGULATORY MECHANISMS: (Plans, Policies, Exec./Sec. Orders))"
14,"Programmatic Candidate Conservation Agreement with Assurances","REGULATORY MECHANISMS: (Plans, Policies, Exec./Sec. Orders)","Non-Spatial Plan","Programmatic Candidate Conservation Agreement with Assurances (REGULATORY MECHANISMS: (Plans, Policies, Exec./Sec. Orders))"
15,"Reclamation Plan","REGULATORY MECHANISMS: (Plans, Policies, Exec./Sec. Orders)","Non-Spatial Plan","Reclamation Plan (REGULATORY MECHANISMS: (Plans, Policies, Exec./Sec. Orders))"
16,"State Conservation Plan","REGULATORY MECHANISMS: (Plans, Policies, Exec./Sec. Orders)","Non-Spatial Plan","State Conservation Plan (REGULATORY MECHANISMS: (Plans, Policies, Exec./Sec. Orders))"
17,"Conifer Removal (All Phases)","RESTORATION: Conifer Removal","Spatial Project","Conifer Removal (All Phases) (RESTORATION: Conifer Removal)"
18,"Fence Marking","RESTORATION: Infrastructure Removal and Modification","Non-Spatial Project","Fence Marking (RESTORATION: Infrastructure Removal and Modification)"
19,"Fence Modification","RESTORATION: Infrastructure Removal and Modification","Non-Spatial Project","Fence Modification (RESTORATION: Infrastructure Removal and Modification)"
20,"Fence Removal","RESTORATION: Infrastructure Removal and Modification","Non-Spatial Project","Fence Removal (RESTORATION: Infrastructure Removal and Modification)"
21,"Powerline Burial","RESTORATION: Infrastructure Removal and Modification","Non-Spatial Project","Powerline Burial (RESTORATION: Infrastructure Removal and Modification)"
22,"Powerline Retrofitting / Modification","RESTORATION: Infrastructure Removal and Modification","Non-Spatial Project","Powerline Retrofitting / Modification (RESTORATION: Infrastructure Removal and Modification)"
23,"Structure Removal","RESTORATION: Infrastructure Removal and Modification","Non-Spatial Project","Structure Removal (RESTORATION: Infrastructure Removal and Modification)"
24,"Improved Grazing Practices (Rest, Rotation, Etc.)","RESTORATION: Livestock & Rangeland Management","Non-Spatial Project","Improved Grazing Practices (Rest, Rotation, Etc.) (RESTORATION: Livestock & Rangeland Management)"
25,Translocation,"RESTORATION: Population Augmentation","Non-Spatial Project","Translocation (RESTORATION: Population Augmentation)"
26,"Rerouted Roads and/or Trails","RESTORATION: Travel Management","Non-Spatial Project","Rerouted Roads and/or Trails (RESTORATION: Travel Management)"
27,"Road and Trail closure","RESTORATION: Travel Management","Non-Spatial Project","Road and Trail closure (RESTORATION: Travel Management)"
28,"Wild Equid Gather","RESTORATION: Wild Equid Management","Non-Spatial Project","Wild Equid Gather (RESTORATION: Wild Equid Management)"
29,"Wild Equid Population Control","RESTORATION: Wild Equid Management","Non-Spatial Project","Wild Equid Population Control (RESTORATION: Wild Equid Management)"
30,"Annual Grass Treatments","RESTORATION: Post-Disturbance and/or Habitat Enhancement","Spatial Project","Annual Grass (RESTORATION: Post-Disturbance and/or Habitat Enhancement)"
31,"Area Closure","SAGEBRUSH PROTECTION","Spatial Project","Area Closure (Area and/or Seasonal) (RESTORATION: Post-Disturbance and/or Habitat Enhancement)"
32,"Fuels Management","RESTORATION: Post-Disturbance and/or Habitat Enhancement","Spatial Project","Fuels Management (RESTORATION: Post-Disturbance and/or Habitat Enhancement)"
33,"Vegetation Management / Habitat Enhancement","RESTORATION: Post-Disturbance and/or Habitat Enhancement","Spatial Project","Vegetation Management / Habitat Enhancement (RESTORATION: Post-Disturbance and/or Habitat Enhancement)"
34,"Conservation Easement","SAGEBRUSH PROTECTION","Spatial Project","Conservation Easement (SAGEBRUSH PROTECTION)"
35,"Fuel Breaks","SAGEBRUSH PROTECTION","Spatial Project","Fuel Breaks (SAGEBRUSH PROTECTION)"
36,"Land Acquisition","SAGEBRUSH PROTECTION","Spatial Project","Land Acquisition (SAGEBRUSH PROTECTION)"
37,"Energy development reclamation with the goal of sagebrush restoration","RESTORATION: Post-Disturbance and/or Habitat Enhancement","Spatial Project","Energy development reclamation with the goal of sagebrush restoration (RESTORATION: Post-Disturbance and/or Habitat Enhancement)"
38,"Noxious Weed Treatments","RESTORATION: Post-Disturbance and/or Habitat Enhancement","Spatial Project","Noxious Weeds (RESTORATION: Post-Disturbance and/or Habitat Enhancement)"
39,"Riparian, Wet Meadow or Spring Restoration","RESTORATION: Post-Disturbance and/or Habitat Enhancement","Spatial Project","Riparian, Wet Meadow or Spring Restoration (RESTORATION: Post-Disturbance and/or Habitat Enhancement)"
